	element	cell size	cell type	kpd	err us	err vasp	diff in errors	kp file	grid type
45	Ti	5	base centered monoclinic	571.29228304947674	4.894300000124474e-05	5.01430000010572e-05	1.1999999998124622e-06	20	hcp
46	Ti	6	triclinic	30.849783284671734	0.013479857000000095	0.013479857000000095	0.0	6	hcp
47	Ti	6	triclinic	246.79826627737387	0.0006368569999999352	0.0006366903333319129	-1.6666666802223062e-07	12	hcp
48	Ti	6	triclinic	832.94414868613683	0.00021652366666735645	0.00021635699999933422	-1.6666666802223062e-07	18	hcp
49	Ti	7	base centered monoclinic	24.994037383414597	0.0009028572857143757	0.0009028572857143757	0.0	7	hcp
50	Ti	7	base centered monoclinic	195.95325308597043	0.0006800001428572955	0.0006814287142873354	1.4285714300399377e-06	14	hcp
51	Ti	7	base centered monoclinic	661.8421099128185	0.00011428585714234885	0.00011285728571586162	-1.428571426487224e-06	21	hcp
52	Al	1	face centered cubic	0.39951580878674275	0.11306820910000015	0.11306760910000024	-5.999999999062311e-07	3	sc
53	Al	1	face centered cubic	0.66585968131123796	0.05358429089999994	0.05358469089999973	3.9999999978945766e-07	4	sc
54	Al	1	face centered cubic	1.2651333944913521	0.04247339090000013	0.04247419090000015	8.000000000230045e-07	5	sc
55	Al	1	face centered cubic	1.8644071076714661	0.008041190899999773	0.00804039089999975	-8.000000000230045e-07	6	sc
56	Al	1	face centered cubic	2.9297825977694467	0.01509879089999977	0.015097790900000074	-9.999999996956888e-07	7	sc
57	Al	1	face centered cubic	3.9951580878674275	0.003937709100000131	0.003938909099999943	1.1999999998124622e-06	8	sc
58	Al	1	face centered cubic	5.6598072911455226	0.0014397909000001263	0.0014386909000001502	-1.09999999997612e-06	9	sc
59	Al	1	face centered cubic	7.3244564944236172	0.00248250910000003	0.0024838091000001228	1.3000000000928935e-06	10	sc
60	Al	1	face centered cubic	9.7215513471440733	0.004544009099999968	0.004545109099999944	1.09999999997612e-06	11	sc
61	Al	1	face centered cubic	12.11864619986453	0.0014372908999997769	0.0014361908999998008	-1.09999999997612e-06	12	sc
62	Al	1	face centered cubic	15.381358638289596	0.0003581091000000036	0.0003594091000000965	1.3000000000928935e-06	13	sc
63	Al	1	face centered cubic	18.64407107671466	0.002212790899999817	0.0022115909000000045	-1.1999999998124622e-06	14	sc
64	Al	1	face centered cubic	22.905573037106585	0.0009200908999997814	0.0009186908999998522	-1.3999999999292356e-06	15	sc
65	Al	1	face centered cubic	27.167074997498506	0.0005250909000000803	0.0005237908999999874	-1.3000000000928935e-06	16	sc
66	Al	1	face centered cubic	32.560538416119535	0.0003482908999998813	0.0003467909000001157	-1.4999999997655777e-06	17	sc
67	Al	1	face centered cubic	37.954001834740559	0.0007648091000000967	0.0007663090999998623	1.4999999997655777e-06	18	sc
68	Al	1	face centered cubic	44.612598647852941	0.0003746091000000895	0.0003761090999998551	1.4999999997655777e-06	19	sc
69	Al	1	face centered cubic	51.271195460965316	0.0008711091000002114	0.0008726090999999769	1.4999999997655777e-06	20	sc
70	Al	1	face centered cubic	59.328097604831299	0.00017270910000011241	0.000174209099999878	1.4999999997655777e-06	21	sc
71	Al	1	face centered cubic	67.384999748697282	0.00016869089999982378	0.00016709089999977778	-1.600000000046009e-06	22	sc
72	Al	1	face centered cubic	1.0653754900979806	0.06467090910000017	0.06466760910000025	-3.2999999999283602e-06	3	bcc
73	Al	1	face centered cubic	1.9309930758025899	0.0064159908999998905	0.006419090900000146	3.100000000255676e-06	4	bcc
74	Al	1	face centered cubic	3.129540502162818	0.02079089089999986	0.020793290899999928	2.4000000000690136e-06	5	bcc
75	Al	1	face centered cubic	4.7941897054409131	0.007618109100000048	0.007616109100000212	-1.9999999998354667e-06	6	bcc
76	Al	1	face centered cubic	6.9249406856368738	0.007983190900000103	0.007985590900000172	2.4000000000690136e-06	7	bcc
77	Al	1	face centered cubic	9.6549653790129497	0.0055025090999998305	0.005499609100000136	-2.8999999996948134e-06	8	bcc
78	Al	1	face centered cubic	12.984263785569139	0.0029808908999999773	0.0029830908999999295	2.19999999995224e-06	9	bcc
79	Al	1	face centered cubic	17.04600784156769	0.0009606908999999497	0.0009633908999999719	2.700000000022129e-06	10	bcc
80	Al	1	face centered cubic	21.840197547008604	0.0016453091000001585	0.0016426091000001364	-2.700000000022129e-06	11	bcc
81	Al	1	face centered cubic	27.500004838154126	0.0019026909000001702	0.0019053908999997482	2.69999999957804e-06	12	bcc
82	Al	1	face centered cubic	34.025429715004258	0.0011248091000002347	0.001122209100000049	-2.600000000185787e-06	13	bcc
83	Al	1	face centered cubic	41.549644113821245	0.0007155909000000626	0.0007182909000000848	2.700000000022129e-06	14	bcc
84	Al	1	face centered cubic	50.072648034605088	0.00042270909999997386	0.00042000909999995173	-2.700000000022129e-06	15	bcc
85	Al	1	face centered cubic	59.727613413618037	0.00021650909999992862	0.0002138090999999065	-2.700000000022129e-06	16	bcc
86	Al	1	face centered cubic	70.514540250860094	0.0006174908999998507	0.0006202909000001533	2.8000000003025605e-06	17	bcc
87	Al	1	face centered cubic	82.5666004825935	0.0003387091000002229	0.00033590909999992036	-2.8000000003025605e-06	18	bcc
88	Al	1	face centered cubic	95.883794108818265	0.0003706909000000813	0.0003734908999999398	2.7999999998584713e-06	19	bcc
89	Al	1	face centered cubic	110.59929306579662	0.00026800910000002176	0.0002652091000001633	-2.7999999998584713e-06	20	bcc
90	Al	1	face centered cubic	126.71309735352857	0.00010079089999992519	0.00010359089999978366	2.7999999998584713e-06	21	bcc
91	Al	1	face centered cubic	144.35837890827636	0.00016619089999991843	0.0001689908999997769	2.7999999998584713e-06	22	bcc
92	Al	1	face centered cubic	1.4648912988847234	0.03502119089999978	0.03502019090000008	-9.999999996956888e-07	3	fcc
93	Al	1	face centered cubic	2.6634387252449518	0.014707290900000114	0.01470879089999988	1.4999999997655777e-06	4	fcc
94	Al	1	face centered cubic	4.8607756735720367	0.011592590899999866	0.01159349090000017	9.000000003034359e-07	5	fcc
95	Al	1	face centered cubic	7.4576284306858645	0.006707190899999826	0.006708490899999919	1.3000000000928935e-06	6	fcc
96	Al	1	face centered cubic	11.452786518553292	6.979090000003296e-05	7.11908999999622e-05	1.3999999999292356e-06	7	fcc
97	Al	1	face centered cubic	15.98063235146971	0.000634890899999796	0.0006360909000000525	1.2000000002565514e-06	8	fcc
98	Al	1	face centered cubic	22.306299323926471	0.0018451909000001265	0.001846390899999939	1.1999999998124622e-06	9	fcc
99	Al	1	face centered cubic	29.297825977694469	0.0006382909000000048	0.0006393908999999809	1.09999999997612e-06	10	fcc
100	Al	1	face centered cubic	38.486689579789548	3.729089999993107e-05	3.849089999974353e-05	1.1999999998124622e-06	11	fcc
101	Al	1	face centered cubic	48.474584799458121	0.0002689090999998811	0.00026770910000006864	-1.1999999998124622e-06	12	fcc
102	Al	1	face centered cubic	61.059332776240517	0.00026930910000011465	0.0002681090999998581	-1.2000000002565514e-06	13	fcc
103	Al	1	face centered cubic	74.576284306858639	0.00026530909999999963	0.00026410910000018717	-1.1999999998124622e-06	14	fcc
104	Al	1	face centered cubic	91.089604403377351	0.00014010910000017418	0.00013900910000019806	-1.09999999997612e-06	15	fcc
105	Al	1	face centered cubic	108.66829998999403	0.00012370909999992463	0.0001226090999999485	-1.09999999997612e-06	16	fcc
106	Al	1	face centered cubic	129.64287995129803	0.00011240910000021032	0.00011120909999995376	-1.2000000002565514e-06	17	fcc
107	Al	1	face centered cubic	151.81600733896224	1.77091000002072e-05	1.650909999995065e-05	-1.2000000002565514e-06	18	fcc
108	Al	1	face centered cubic	177.78453491010052	0.00010210910000019169	0.00010100910000021557	-1.09999999997612e-06	19	fcc
109	Al	1	face centered cubic	205.08478184386126	8.380909999994302e-05	8.27090999999669e-05	-1.09999999997612e-06	20	fcc
110	Al	1	face centered cubic	236.57994476988281	3.0290899999840804e-05	3.1390899999816924e-05	1.09999999997612e-06	21	fcc
111	Al	1	face centered cubic	269.53999899478913	6.959089999991619e-05	7.079090000017274e-05	1.2000000002565514e-06	22	fcc
112	Al	2	trigonal (rhomboedric)	1.997579043933714	0.05357684089999992	0.0535741408999999	-2.700000000022129e-06	4	sc
113	Al	2	trigonal (rhomboedric)	6.5254248768501322	0.0080334408999998	0.008030890899999754	-2.5500000000455714e-06	6	sc
114	Al	2	trigonal (rhomboedric)	13.583537498749255	0.00394600909999987	0.003948459100000079	2.4500000002092293e-06	8	sc
115	Al	2	trigonal (rhomboedric)	26.368043379925023	0.002490859099999909	0.002493509100000235	2.6500000003260027e-06	10	sc
116	Al	2	trigonal (rhomboedric)	43.280879285230469	0.0014291409000000144	0.0014264408999999922	-2.700000000022129e-06	12	sc
117	Al	2	trigonal (rhomboedric)	68.583547175057518	0.002204540899999774	0.0022019409000000323	-2.599999999741698e-06	14	sc
118	Al	2	trigonal (rhomboedric)	99.612608324161201	0.0005168409000000374	0.0005142908999999918	-2.5500000000455714e-06	16	sc
119	Al	2	trigonal (rhomboedric)	141.69494018303143	0.0007732591000002564	0.0007757591000001618	2.4999999999053557e-06	18	sc
120	Al	2	trigonal (rhomboedric)	191.10172853632531	0.000879559099999927	0.0008820590999998323	2.4999999999053557e-06	20	sc
121	Al	2	trigonal (rhomboedric)	254.22522632463065	0.00016024090000010816	0.0001577408999997587	-2.500000000349445e-06	22	sc
122	Al	2	trigonal (rhomboedric)	4.6610177691786658	0.006411140900000056	0.006407240899999778	-3.9000000002786805e-06	4	bcc
123	Al	2	trigonal (rhomboedric)	13.050849753700264	0.007623409100000256	0.007626659100000044	3.2499999997881446e-06	6	bcc
124	Al	2	trigonal (rhomboedric)	28.365622423858738	0.005506859100000039	0.005510809100000014	3.949999999974807e-06	8	bcc
125	Al	2	trigonal (rhomboedric)	52.736086759850046	0.0009562909000000452	0.0009525408999997431	-3.7500000003021228e-06	10	bcc
126	Al	2	trigonal (rhomboedric)	88.292993741870163	0.001898140899999845	0.0018945408999999636	-3.5999999998814758e-06	12	bcc
127	Al	2	trigonal (rhomboedric)	137.16709435011504	0.0007110408999997375	0.000707690900000113	-3.3499999996244867e-06	14	bcc
128	Al	2	trigonal (rhomboedric)	201.4891395647806	0.00022110909999994988	0.00022440909999987824	3.2999999999283602e-06	16	bcc
129	Al	2	trigonal (rhomboedric)	283.38988036606287	0.00034325910000010396	0.000346459100000196	3.200000000092018e-06	18	bcc
130	Al	2	trigonal (rhomboedric)	385.00006773415782	0.0002725590999999028	0.0002757590999999948	3.200000000092018e-06	20	bcc
131	Al	2	trigonal (rhomboedric)	508.45045264926131	0.00016169089999973352	0.0001584909000000856	-3.199999999647929e-06	22	bcc
132	Al	2	trigonal (rhomboedric)	6.7917687493746275	0.014698090900000071	0.014697590900000002	-5.00000000069889e-07	4	fcc
133	Al	2	trigonal (rhomboedric)	22.506057228319843	0.00669864089999983	0.006697640900000135	-9.999999996956888e-07	6	fcc
134	Al	2	trigonal (rhomboedric)	49.8063041620806	0.0006264908999997765	0.0006252408999998238	-1.2499999999526779e-06	8	fcc
135	Al	2	trigonal (rhomboedric)	96.949169598916257	0.0006299409000001255	0.0006285908999998924	-1.3500000002331092e-06	10	fcc
136	Al	2	trigonal (rhomboedric)	163.13562192125332	0.0002770591000000877	0.00027850910000015716	1.4500000000694513e-06	12	fcc
137	Al	2	trigonal (rhomboedric)	258.75307215754708	0.000273409100000066	0.00027500910000011203	1.600000000046009e-06	14	fcc
138	Al	2	trigonal (rhomboedric)	380.87173771002813	0.00013180909999999102	0.00013340910000003703	1.600000000046009e-06	16	fcc
139	Al	2	trigonal (rhomboedric)	542.00978058734768	2.5709099999993157e-05	2.7409099999875508e-05	1.6999999998823512e-06	18	fcc
140	Al	2	trigonal (rhomboedric)	737.10666721154041	9.185909999986919e-05	9.34590999999152e-05	1.600000000046009e-06	20	fcc
141	Al	2	trigonal (rhomboedric)	980.81131057145353	6.164089999982636e-05	5.994089999994401e-05	-1.6999999998823512e-06	22	fcc
142	Al	3	body centered orthorhombic	1.7978211395403429	0.11311524243333348	0.11311524243333348	0.0	3	sc
143	Al	3	body centered orthorhombic	9.5883794108818297	0.007991757566666369	0.007992424233333129	6.66666666759852e-07	6	sc
144	Al	3	body centered orthorhombic	30.363201467792461	0.0013907575666665117	0.0013907575666665117	0.0	9	sc
145	Al	3	body centered orthorhombic	67.118655876172809	0.0013880908999999164	0.0013884242333332963	3.33333333379926e-07	12	sc
146	Al	3	body centered orthorhombic	128.44433252493783	0.0008710908999995937	0.0008710908999995937	0.0	15	sc
147	Al	3	body centered orthorhombic	215.73853674484116	0.0008139090999996768	0.0008139090999996768	0.0	18	sc
148	Al	3	body centered orthorhombic	339.1889216599447	0.00022190909999997288	0.00022190909999997288	0.0	21	sc
149	Al	3	hexagonal	2.7966106615071986	0.06468124243333362	0.06467957576666628	-1.6666666673437192e-06	3	bcc
150	Al	3	hexagonal	13.783295403142622	0.007629909099999832	0.007628575766666756	-1.3333333330756147e-06	6	bcc
151	Al	3	hexagonal	40.351096687461009	0.002969424233333573	0.0029704242333332687	9.999999996956888e-07	9	bcc
152	Al	3	hexagonal	89.691299072623735	0.0018914242333334386	0.0018924242333331343	9.999999996956888e-07	12	bcc
153	Al	3	hexagonal	168.99518711679215	0.00043390909999985183	0.00043290910000015614	-9.999999996956888e-07	15	bcc
154	Al	3	hexagonal	285.45404537812766	0.0003499091000001009	0.0003489091000004052	-9.999999996956888e-07	18	bcc
155	Al	3	hexagonal	446.25915841479156	8.942423333291316e-05	9.042423333349703e-05	1.0000000005838672e-06	21	bcc
156	Al	3	body centered orthorhombic	6.192495036194515	0.03497242423333313	0.034973424233333716	1.0000000005838672e-06	3	fcc
157	Al	3	body centered orthorhombic	36.555696503986972	0.006659424233332878	0.006658757566667006	-6.666666658716736e-07	6	fcc
158	Al	3	body centered orthorhombic	115.46006873936869	0.0017970909000002422	0.0017967575666664182	-3.333333338240152e-07	9	fcc
159	Al	3	body centered orthorhombic	260.08479152016963	0.0003172424333337531	0.00031757576666668896	3.333333329358368e-07	12	fcc
160	Al	3	body centered orthorhombic	497.99645565267502	0.00018857576666686526	0.0001889090999998011	3.333333329358368e-07	15	fcc
161	Al	3	body centered orthorhombic	843.17811444442088	6.624243333330782e-05	6.624243333330782e-05	0.0	18	fcc
162	Al	3	body centered orthorhombic	1326.3924851719864	1.82424333337039e-05	1.8575766666639737e-05	3.333333329358368e-07	21	fcc
163	Al	4	base centered orthorhombic	3.1961264702939425	0.05358084090000004	0.05358084090000004	0.0	4	sc
164	Al	4	base centered orthorhombic	21.307509801959615	0.0039416591000001056	0.0039416591000001056	0.0	8	sc
165	Al	4	base centered orthorhombic	67.118655876172795	0.0014330908999999892	0.0014330908999999892	0.0	12	sc
166	Al	4	base centered orthorhombic	153.41407057410925	0.0005208409000001524	0.0005208409000001524	0.0	16	sc
167	Al	4	base centered orthorhombic	292.9782597769447	0.0008754090999998354	0.0008754090999998354	0.0	20	sc
168	Al	4	base centered orthorhombic	8.789347793308341	0.006413090899999752	0.006413090899999752	0.0	4	bcc
169	Al	4	base centered orthorhombic	49.273616417031612	0.005505409099999969	0.005505409099999969	0.0	8	bcc
170	Al	4	base centered orthorhombic	147.28816150604584	0.0018998409000001715	0.0018998409000001715	0.0	12	bcc
171	Al	4	base centered orthorhombic	328.40199482270259	0.00021940910000006753	0.00021940910000006753	0.0	16	bcc
172	Al	4	base centered orthorhombic	618.18412812935333	0.00027090910000016066	0.00027090910000016066	0.0	20	bcc
173	Al	4	base centered orthorhombic	13.050849753700264	0.014703840899999765	0.014703840899999765	0.0	4	fcc
174	Al	4	base centered orthorhombic	85.762726952887448	0.0006313409000000547	0.0006313409000000547	0.0	8	fcc
175	Al	4	base centered orthorhombic	269.27365512226464	0.00027240909999992624	0.00027240909999992624	0.0	12	fcc
176	Al	4	base centered orthorhombic	614.72165778653493	0.00012740910000008654	0.00012740910000008654	0.0	16	fcc
